type,author,content,ip,time
33,PUSH,changwl001,股版風向全面一致,,06/07 08:36
34,PUSH,duncan0319,雯晴開準備噴爆，今天過萬七。,,06/07 08:36
35,ARROW,a069275235,誰跟你一致,,06/07 08:36
36,ARROW,askaa,=====井底空蛙，叫你不要動還動，天兵阿??蛤??=====,,06/07 08:36
37,PUSH,bradpete,丸子丸子 等等好怕全部綠,,06/07 08:36
38,PUSH,winddrinks,YU飛機要放到何時,,06/07 08:36
39,PUSH,NikeRunning,雯晴帶我們一路高飛,,06/07 08:37
40,ARROW,duncan0319,莫忘藍燈叫你別買股的6丁,,06/07 08:37
41,ARROW,kausan,空蛙爽整晚,,06/07 08:38
42,PUSH,YU1225,Win大 我判斷在七月多最晚七月底 飛機要抵達大氣層,,06/07 08:38
43,ARROW,King5566,雯晴嫁給我八,,06/07 08:38
44,PUSH,gest7240,6丁的美債文 是被電到刪文嗎,,06/07 08:38
45,BOO,askaa,========看燈號，隨風倒，你說好笑不好笑?=========,,06/07 08:38
46,PUSH,czg,"老蘇萬海入手成本更新為58.4,之前不算,望周知...",,06/07 08:38
47,ARROW,sagarain,救我,,06/07 08:38
48,PUSH,cmuse,買到最爛的重電 995,,06/07 08:39
49,ARROW,YU1225,老蘇長榮會員179$成本無限降低戰術 …,,06/07 08:39
50,BOO,jinso7410,股版一致看多 嗅到味道了,,06/07 08:39
51,PUSH,allenchang0,3000萬歐印,,06/07 08:39
52,BOO,Transposon,樂觀樂起來https://i.imgur.com/sqzZS8y.jpg,,06/07 08:39
53,PUSH,eric02,老蘇有備而來阿 你各位眼睛睜大著看,,06/07 08:40
54,ARROW,askaa,哥~跟a33的觀點一至，早就說看17000惹~但是誰在看呢,,06/07 08:40
55,PUSH,obi963,今天要輪動哪呢,,06/07 08:40
56,BOO,Crushredkiss,人越少越會漲吧 之前6.7000人才會跌,,06/07 08:40
57,ARROW,askaa,空蛙就欠電阿~那們愛送錢給多多夥伴門~我門要感謝,,06/07 08:40
58,PUSH,YU1225,你看看長榮一票人說要融資貼單 籌碼重,,06/07 08:41
59,ARROW,YU1225,https://i.imgur.com/9EzV3nJ.jpg,,06/07 08:41
60,PUSH,freeclouds,今天又是拉積盤嗎,,06/07 08:41
61,PUSH,musi,搭早~今天16800嗎?,,06/07 08:41
62,ARROW,YU1225,同學會上多少人聞到 籌碼到底重不重,,06/07 08:41
63,ARROW,WEYNI,今天來看化學兵跟工兵哪個比較有機會QQ,,06/07 08:41
64,PUSH,EvilJustice,995,,06/07 08:41
65,PUSH,yumin88889,噴噴爽,,06/07 08:42
66,PUSH,pttstock,這個舞廳越來越多人進來跳舞了 :),,06/07 08:42
67,ARROW,laechan,三陽一開始就搓高，好壞,,06/07 08:42
68,PUSH,overkiller,大家早 今天又要大賺了嗎,,06/07 08:43
69,BOO,jinso7410,…這…   盤…閒…  聊…越…  來…越…  樂…觀…,,06/07 08:43
70,ARROW,pttstock,路過舞廳的人看到舞廳很嗨也都相繼進來跳舞 :),,06/07 08:43
71,PUSH,xephon,噴 https://i.imgur.com/iAVEaIE.jpg,,06/07 08:43
72,PUSH,corner3500,今天怪怪的,,06/07 08:43
73,PUSH,czg,"昨日3點已預告會上2卍,會嘎空軍,和氣死空手仔",,06/07 08:44
74,ARROW,jinso7410,閒聊風向一致看多 這劇本我也看過,,06/07 08:44
75,PUSH,opkl13006,老蘇995,,06/07 08:44
76,PUSH,poisonB,https://i.imgur.com/M8aCAXR.jpg,,06/07 08:44
77,ARROW,just007,麻煩別噴太快啊,,06/07 08:44
78,PUSH,noname78531,今天一樣觀光帶頭,,06/07 08:45
79,PUSH,pttstock,小心舞廳失火 到時人踩人就好玩了 :),,06/07 08:45
80,PUSH,allenchang0,等等開盤先衝進去買了 早買早享受,,06/07 08:45
81,BOO,JessVeron,多軍都賺爛出去黑皮了，只有反串仔還在閒聊亂喊空,,06/07 08:46
82,PUSH,qw5980162,麗清姐 噴出去惹,,06/07 08:46
83,PUSH,YU1225,觀光最晚最晚也要持有到暑假7-8月,,06/07 08:46
84,ARROW,WEYNI,債正二又回來一些 一張剩下賠300…QQ,,06/07 08:46
85,PUSH,TP62842UL3,開高走低 16800天花板,,06/07 08:46
86,BOO,DAEVA,三重區審判之日,,06/07 08:46
87,PUSH,Dia149,有貓膩,,06/07 08:46
88,PUSH,babuli,3346清姐怎麼了,,06/07 08:46
89,ARROW,YU1225,很多還沒噴高的觀光股….,,06/07 08:47
90,PUSH,EHacker,https://i.imgur.com/LRHhyEB.jpg,,06/07 08:47
91,PUSH,soloyi,3231緯創跌停,,06/07 08:47
92,ARROW,YU1225,Led開始輪動了,,06/07 08:47
93,PUSH,ledmstony,緯創8888,,06/07 08:47
94,PUSH,pttstock,新美債開始向市場發出吸金大法 :),,06/07 08:47
95,ARROW,soloyi,3231？,,06/07 08:48
96,PUSH,fujioqq,緯創期貨平盤啦,,06/07 08:48
97,ARROW,pttstock,葉倫阿罵開始印新美債 向市場吸金 :),,06/07 08:48
98,PUSH,herrowui,要開盤了，先祝多空今天都有錢賺,,06/07 08:48
99,PUSH,cysfmc,緯創搓太假了,,06/07 08:48
100,BOO,learnbao,假搓也在高潮 緯創就是要衝到100還在幻想崩,,06/07 08:48
101,PUSH,Hsiencheng,今天16800  明天16900  星期五就萬七囉！,,06/07 08:48
102,PUSH,noname78531,今天跟著凱基台北玩鳳凰,,06/07 08:48
103,ARROW,soloyi,ㄏㄏ3231,,06/07 08:48
104,PUSH,jc761128,億光唬爛吧XDD,,06/07 08:48
105,PUSH,s155260,鬼指噴噴,,06/07 08:48
106,ARROW,allenchang0,觀光現在不買78月翻倍的時候別哭,,06/07 08:49
107,ARROW,Ilou,16800,,06/07 08:49
108,BOO,jinso7410,股版目前閒聊多空比,,06/07 08:49
109,ARROW,jinso7410,多：空=99:1,,06/07 08:49
110,ARROW,hoks,空姐空少今日會勝利嗎？,,06/07 08:49
111,PUSH,ethan0419,瘋狗今天也是很瘋,,06/07 08:49
112,PUSH,wald5566,歐印鳳凰啦,,06/07 08:49
113,PUSH,icexfox,三商電,,06/07 08:49
114,PUSH,gtaped05550,凌晨方向已定 今天數錢就好,,06/07 08:49
115,BOO,Crushredkiss,鬼指直接頂穿16800 空蛙崩潰,,06/07 08:49
116,BOO,xephon,我三個月前說會到16800也是被看沒有,,06/07 08:49
117,ARROW,bearss,緯創搓跌停...塊陶阿,,06/07 08:49
118,PUSH,s56565566123,閒聊多空比指標很準嗎,,06/07 08:49
119,PUSH,qoo60218,殲滅沉聾！,,06/07 08:49
120,ARROW,jingbaby77,大家都在廁所看試搓嗎@@,,06/07 08:49
121,PUSH,keymanhui,緯創跌停 快逃啊,,06/07 08:49
122,PUSH,jenny416413,三商電真的假的？,,06/07 08:49
123,ARROW,icexfox,緯創 綠燈,,06/07 08:50
124,ARROW,Crushredkiss,折折都講半年了 你才三個月,,06/07 08:50
125,PUSH,monster104,緯創跌停耶 先掛買五張壓壓驚,,06/07 08:50
126,PUSH,smbtomas,小護士糖漿業績都好強,,06/07 08:50
127,ARROW,jenny416413,緯創跌停？,,06/07 08:50
128,PUSH,gp500adsl,假搓也在高潮XD,,06/07 08:50
129,PUSH,aaccabc,勇敢最多…數錢,,06/07 08:50
130,PUSH,YU1225,科技輪動 記憶體有點過熱了 換led噴出了,,06/07 08:50
131,PUSH,abc0922001,嘎偉老蘇雖然選股很爛，但看轉折還是很準的,,06/07 08:50
132,PUSH,CGDGAD,這不是演習，再重複一次，這不是演習,,06/07 08:50
133,PUSH,ethan0419,熱死..一大早就要開冷氣,,06/07 08:51
134,ARROW,appledick,撮綠哪一次不是收最高 菜雞,,06/07 08:51
135,ARROW,YU1225,有些過熱的科技股 會休息 換科技族群,,06/07 08:51
136,ARROW,WEYNI,化學兵 工兵集結…QQ,,06/07 08:51
137,BOO,oplk,00927看起來不錯穩啊,,06/07 08:51
138,PUSH,allenchang0,偉創今天又要開秀,,06/07 08:51
139,PUSH,bleach06bb,江申搓真的…？,,06/07 08:51
140,PUSH,cysfmc,跟凱基隔日沖鳳凰 拉高就是出貨,,06/07 08:51
141,ARROW,appledick,休息誘空 讚讚,,06/07 08:51
142,PUSH,pobby920,還沒開盤高潮什麼了,,06/07 08:51
143,PUSH,avavgirl,LED早就噴的很高拉 億光讚讚,,06/07 08:51
144,BOO,tzjjkonuj,假搓，誘空，今天多空交戰日。,,06/07 08:51
145,PUSH,agvnol,期貨大噴發,,06/07 08:52
146,PUSH,Kevinsun,99 台郡,,06/07 08:52
147,ARROW,a79111010,緯創有期貨不用看紅綠燈亂玩,,06/07 08:52
148,BOO,CloserJ,yu1225怎那麼愛貼同學會跟賴群組的貼文在自言自語啊,,06/07 08:52
149,ARROW,CloserJ,？,,06/07 08:52
150,PUSH,pisu,藍天哥要帶團去101喝咖啡了QQQQQQQQQ,,06/07 08:52
151,PUSH,lilihuan,99欣銓,,06/07 08:52
152,PUSH,Lamigirls48,玉晶光是搓有跌停 cc,,06/07 08:53
153,PUSH,yannicklatte,又是亂噴一通的一天，哎,,06/07 08:53
154,PUSH,jenchieh5,只要坐在不死鳥上，AI根本可以當作空氣,,06/07 08:53
155,PUSH,monster104,緯創看來是買不到了 555,,06/07 08:54
156,PUSH,j6569642,廣達期貨噴爛,,06/07 08:54
157,BOO,jinso7410,早餐店居然有人在聊股票,,06/07 08:54
158,PUSH,O10lOl01O,鳳凰也太高 可以空了嗎,,06/07 08:54
159,PUSH,bolovema,最近一些去年的恐慌仔id 都回來侃侃而談，彷彿恐慌,,06/07 08:54
160,ARROW,bolovema,都不在了，說好的主跌段忘了嗎？,,06/07 08:54
161,ARROW,jinso7410,我嗅到味道了,,06/07 08:54
162,BOO,tzjjkonuj,台積電 日常 會後 隔天賣壓居多,,06/07 08:55
163,PUSH,peace000,救救空蛙啊,,06/07 08:55
164,ARROW,hoks,抽單抽起來,,06/07 08:55
165,PUSH,Sinchiest,緯創噴到外太空,,06/07 08:55
166,PUSH,a70327cow,億光…,,06/07 08:55
167,PUSH,ak007,來看台勝科在搞什麼Xzd,,06/07 08:56
168,ARROW,appledick,GG烙賽 大家吃到飽,,06/07 08:56
169,PUSH,jenny416413,緯創有人跌停掛到？,,06/07 08:56
170,PUSH,tissot,女神早安,,06/07 08:56
171,PUSH,on32,今年快半年了 沒有任何一天 單日跌幅超過300點扯,,06/07 08:56
172,PUSH,zse24,三商電今天要是真的衝上來 真的會刷新我三觀,,06/07 08:56
173,PUSH,mqhung,別人的緯創跟我看的緯創是平行時空？,,06/07 08:57
174,PUSH,YU1225,記憶體過熱 換噴低基期的led~~~~~妳各位有沒有啊?,,06/07 08:57
175,BOO,jinso7410,https://i.imgur.com/CB9Vi0h.jpg,,06/07 08:57
176,BOO,yuenda,史。詩。大。爆。崩。崩。爽,,06/07 08:57
177,ARROW,on32,連大多頭的2021年都有好幾天超過300點,,06/07 08:57
178,PUSH,sussj,今天沒什麼好看的，就盤到收盤吧,,06/07 08:57
179,PUSH,guowei616,先替空蛙和空手仔默哀 一波直上萬8瘋狗流,,06/07 08:57
180,PUSH,mathology,師傅的4207感覺要舒服了,,06/07 08:57
181,ARROW,killverybig,問就是漲,,06/07 08:57
182,PUSH,zorro1111,阿雯安安,,06/07 08:57
183,ARROW,YU1225,6月了 已經進入下半年了..面板喵 主升段 開幕^^,,06/07 08:57
184,ARROW,on32,只要沒有出現單日-300以上 都還沒過熱賣壓出來,,06/07 08:57
185,BOO,tzjjkonuj,VR MR熱度一週不到，又冷了，雷聲大雨點小。,,06/07 08:57
186,ARROW,on32,今年的盤比2021年還要強勢,,06/07 08:57
187,PUSH,baxk4lzoq,1447搓真的?,,06/07 08:57
188,PUSH,allenchang0,等等做多又要坤爸數錢,,06/07 08:58
189,PUSH,SeaForest,多蛙還在壯膽喔,,06/07 08:58
190,PUSH,ethan0419,今年內資很敢啊,,06/07 08:58
191,PUSH,accock,假搓真的很無聊 什麼時候要取消啊,,06/07 08:58
192,PUSH,ceruti,雯晴早 大家早,,06/07 08:58
193,PUSH,czg,發哥好像老蘇也有唷,,06/07 08:58
194,PUSH,bolovema,最慘的是去年被恐慌仔騙到低點沒進場的,,06/07 08:59
195,PUSH,zse24,鳳凰山富資券比都要60了...會開嘎嗎？,,06/07 08:59
196,BOO,tzjjkonuj,這幾天題材股，都被隔日沖大戶玩爛了，全丟給韭菜,,06/07 08:59
197,ARROW,kilik0960,聯詠+油QQ,,06/07 08:59
198,PUSH,sosank,下山了 空軍狂喜,,06/07 08:59
199,ARROW,baxk4lzoq,呃假搓XD,,06/07 08:59
200,ARROW,s860703,爛了..,,06/07 08:59
201,PUSH,ap909278410,沒有空蛙畢業文 一定繼續嘎嘎,,06/07 08:59
202,PUSH,YU1225,航空股還會創新高~~~~~懂得就懂 火力全開飛向宇宙~,,06/07 08:59
203,PUSH,pttstock,99 50反1 歷史新低了 :(,,06/07 08:59
204,ARROW,allenchang0,數錢囉,,06/07 09:00
205,PUSH,yumin88889,嘎嘎爽,,06/07 09:00
206,PUSH,King5566,開門了 衝啊殺啊上啊,,06/07 09:00
207,PUSH,cloud7515,有沒有一種可能 就是空軍早死光了,,06/07 09:00
208,PUSH,bleach06bb,星雲直接鎖…？,,06/07 09:00
209,ARROW,baka1412,https://i.imgur.com/SBuKMsp.jpg,,06/07 09:00
210,PUSH,BLUESKY101,持股全紅,,06/07 09:00
211,BOO,duncan0319,嘎爆了空蛙哭哭,,06/07 09:00
212,PUSH,max220,筆電行 慢慢舒服~,,06/07 09:00
213,PUSH,warren1024,糖漿舒服,,06/07 09:00
214,PUSH,springman,昨天華晶科慢幾分鐘開盤，今天億光也慢幾分鐘開盤！,,06/07 09:00
215,BOO,oplk,神教衝啊  帶著00927一起飛,,06/07 09:01
216,BOO,YesNoter,包子寶,,06/07 09:01
217,ARROW,pttstock,阿姨 搖起來阿 別睡著 :),,06/07 09:01
218,PUSH,xephon,https://i.imgur.com/oqi99nW.jpg,,06/07 09:01
219,PUSH,SeaForest,50反又新低…,,06/07 09:01
220,ARROW,jt13,法師好爽...,,06/07 09:01
221,PUSH,sd7621155,筆電行是 acer嗎,,06/07 09:01
222,BOO,jinso7410,一致看多!!!!一致看多!!!!,,06/07 09:01
223,PUSH,jc761128,E光 緩開盤XDD,,06/07 09:01
224,BOO,xperiaxa,突破16811了 等等應該會回測一下,,06/07 09:01
225,PUSH,scum5566,日本又狂A辣！！,,06/07 09:01
226,PUSH,bradpete,全部紅-- 還有誰在賠錢的嗎,,06/07 09:01
227,ARROW,YU1225,面板喵 已經六月了 開啟主升段！噴噴噴！,,06/07 09:01
228,PUSH,Dia149,562，這把會a,,06/07 09:01
229,ARROW,yumin88889,大報噴噴爽,,06/07 09:01
230,PUSH,thinksilver,肉鬆回120了嗎,,06/07 09:01
231,PUSH,getx105,建碁好快,,06/07 09:01
232,PUSH,tinadew,五福臨門！,,06/07 09:01
233,BOO,geniustu,哲哲建基直接鎖,,06/07 09:01
234,PUSH,haski,99 6515、99 5289,,06/07 09:01
235,BOO,photoless,再說一次 隨便買隨便賺,,06/07 09:01
236,ARROW,jc761128,6577...,,06/07 09:01
237,BOO,stanleyplus,3583,,06/07 09:02
238,PUSH,a70327cow,9945倒下來35啦,,06/07 09:02
239,PUSH,j6569642,微星突破,,06/07 09:02
240,ARROW,SeaForest,雄獅又要挑戰200了,,06/07 09:02
241,PUSH,otsuka123,多多這麼嗨 我以為期貨168了..,,06/07 09:02
242,PUSH,leotompp,大法師嘎爛.,,06/07 09:02
243,ARROW,stanleyplus,中小噴滿臉啊,,06/07 09:02
244,ARROW,scum5566,大法師一開盤就漲停 不給上車,,06/07 09:02
245,ARROW,YU1225,再說一次～認養面板喵　年底買房～～Y,,06/07 09:02
246,ARROW,thinksilver,3078衝阿,,06/07 09:02
247,ARROW,jt13,COWOS有台積電法說加持 應該不可能出貨吧!!,,06/07 09:02
248,BOO,EDFR,3yang 888888888888,,06/07 09:03
249,ARROW,YU1225,再說一次～認養面板喵　年底買房～～GOGOGO,,06/07 09:03
250,PUSH,Superxixai,觀光股可以再扯一點…,,06/07 09:03
251,PUSH,sosiealex,說好的拉g盤呢,,06/07 09:03
252,ARROW,laechan,萬六不買，萬七才要買嗎,,06/07 09:03
253,BOO,jimzx0147,阿姨搖起來 紅茶發大財,,06/07 09:03
254,PUSH,zxcv9404,1609,,06/07 09:03
255,ARROW,baka1412,星雲豪爽,,06/07 09:03
256,PUSH,BLUESKY101,聯亞衝啊,,06/07 09:03
257,PUSH,superamd,再說一次 盜圖記得截白邊,,06/07 09:03
258,PUSH,yumin88889,大報嘎嘎,,06/07 09:03
259,PUSH,asq176,電纜續噴,,06/07 09:03
260,PUSH,allenchang0,做多好簡單,,06/07 09:03
261,PUSH,bryan910015,潤泰新昨天外資出光光，剩下融資追高韭菜XDD,,06/07 09:03
262,ARROW,loveponpon,台股跟你們玩 我們去美股賺錢,,06/07 09:03
263,PUSH,AN94,看推文還以為萬七了,,06/07 09:03
264,PUSH,zorro1111,必應一直硬,,06/07 09:03
265,PUSH,pttstock,怪 鬼指不跟 :),,06/07 09:03
266,PUSH,TP62842UL3,星雲..太爽了 哈哈哈,,06/07 09:03
267,PUSH,jc761128,緯創要死掉了嗎？,,06/07 09:04
268,PUSH,lepidoptera,智障車繼續發動,,06/07 09:04
269,BOO,jinso7410,https://i.imgur.com/Do7icUv.jpg,,06/07 09:04
270,PUSH,dosiris,哪天不是拉高出貨 呵呵,,06/07 09:04
271,PUSH,fujioqq,景碩月增也是沒用 笑死,,06/07 09:04
272,ARROW,tinybunny,yu大要去康康豬吃看看 有韭菜的辣個才是炒麵,,06/07 09:04
273,PUSH,ttcml,台股不會跌,,06/07 09:04
274,ARROW,loveponpon,必應真的有硬硬,,06/07 09:04
275,ARROW,YU1225,觀光股說了　要賣也是暑假超級爆發營收出來再考慮賣,,06/07 09:04
276,PUSH,veter,老蘇大獲全勝,,06/07 09:04
277,ARROW,BLUESKY101,富邦越南噴向30,,06/07 09:04
278,ARROW,jc761128,笑死 未來車解套XDDD,,06/07 09:04
279,ARROW,Gyin,GG漲兩塊,,06/07 09:04
280,PUSH,herrowui,大盤下山中，空軍賺錢錢ing,,06/07 09:04
281,PUSH,TZUYIC,喵喵喵,,06/07 09:04
282,PUSH,Hsiencheng,喵喵好可愛,,06/07 09:04
283,PUSH,IzumiKonata,台勝科炸裂,,06/07 09:04
284,ARROW,neoa01,萬七放空 驕傲一輩子,,06/07 09:04
285,ARROW,veter,飛酸哭哭囉笑死,,06/07 09:04
286,ARROW,YU1225,tin大　謝謝美食推推～,,06/07 09:04
287,PUSH,xiaoyao,彩晶喵 我的超人,,06/07 09:05
288,ARROW,jt13,法師前幾天的推薦文怎麼不見了??,,06/07 09:05
289,ARROW,kisweet999,大盤指數頗高 其他中小不死 GG 漲不上去了吧,,06/07 09:05
290,PUSH,allenchang0,觀光股暑假翻倍怎麼輸,,06/07 09:05
291,ARROW,jc761128,3532太老實崩潰~~,,06/07 09:05
292,PUSH,lock7,士紙挖到石油,,06/07 09:05
293,BOO,duncan0319,好多空蛙坐不住，開始洗圖了,,06/07 09:05
294,PUSH,forever19735,易飛網太會飛了吧,,06/07 09:05
295,PUSH,jenny416413,三商電要復活了？,,06/07 09:05
296,PUSH,tree1992,開盤持股建倉兩支漲停…太舒服了吧,,06/07 09:05
297,PUSH,j6569642,台光電噴爛,,06/07 09:05
298,PUSH,yumin88889,準備大爆嘎,,06/07 09:05
299,ARROW,dosiris,萬潤燈了,,06/07 09:05
300,PUSH,f204137,糖漿開車了呢 嘻嘻,,06/07 09:05
301,PUSH,ferrari293,喵喵醒了,,06/07 09:05
302,PUSH,osaka3131,必應有夠忙欸,,06/07 09:05
303,PUSH,czg,老蘇台光電大獲全勝,,06/07 09:05
304,ARROW,tree1992,萬潤昨天追今天燈，怎麼輸,,06/07 09:05
305,PUSH,a052612565,誘空完了？,,06/07 09:06
306,ARROW,ornv,看看群創 想想緯創,,06/07 09:06
307,ARROW,YU1225,快笑死．．．ＹＵ概念股　全噴！！！！！,,06/07 09:06
308,ARROW,piece1,真有趣...大家都在惜售嗎,,06/07 09:06
309,PUSH,pipi2,猩猩營收偷看答案？,,06/07 09:06
310,PUSH,smbtomas,笑死糖漿紅燈fj賺爛,,06/07 09:06
311,PUSH,neone,cowos大噴,,06/07 09:06
312,PUSH,tintin9900,衝啊1609,,06/07 09:06
313,PUSH,weekend88123,老蘇台光電大獲全勝！,,06/07 09:06
314,BOO,sunbox,康和證繼續李安沒關係,,06/07 09:06
315,PUSH,Hsiencheng,日,,06/07 09:06
316,ARROW,YU1225,再說一次～認養面板喵　年底買房～～六月開啟主升段,,06/07 09:06
317,PUSH,thinksilver,橋威衝阿,,06/07 09:06
318,ARROW,dosiris,不是惜售 散戶都空手了吧,,06/07 09:06
319,ARROW,kilik0960,滷肉好棒 溫溫漲,,06/07 09:06
320,BOO,qscxz,盤面一片紅,,06/07 09:06
321,BOO,jinso7410,早餐店ㄚ婆也在開始聊AI概念股,,06/07 09:06
322,PUSH,kumafez,笑死 還有人在放空嗎,,06/07 09:07
323,PUSH,lulumi,推康康豬,,06/07 09:07
324,ARROW,JuiFu617,天啊，快萬七了,,06/07 09:07
325,PUSH,cysfmc,不死鳥要障停？,,06/07 09:07
326,PUSH,zorro1111,西瓜又甜了？,,06/07 09:07
327,ARROW,Hsiencheng,沒人吹日經了？,,06/07 09:07
328,PUSH,jc761128,2809今天除息~,,06/07 09:07
329,PUSH,beatles12,每天都漲會不會太幸福 555995,,06/07 09:07
330,PUSH,max220,環太平洋燈了喔..XD,,06/07 09:07
331,ARROW,WEYNI,化學兵起飛,,06/07 09:07
332,ARROW,zzj11,台股高高高 只會漲不會跌....,,06/07 09:07
333,PUSH,akiras,台光電 噴啦~,,06/07 09:07
334,PUSH,jenchieh5,黃金不死鳥怎麼輸,,06/07 09:07
335,PUSH,mioco,又是全面開噴的一天,,06/07 09:07
336,PUSH,romenticpoet,雯晴 雯晴 我愛妳～～～～,,06/07 09:07
337,ARROW,oplk,神教125get  外資喊得真準,,06/07 09:08
338,PUSH,veter,偉黑小魚再度哭暈在廁所,,06/07 09:08
339,PUSH,linedrive,緯創！,,06/07 09:08
340,PUSH,pipi2,台勝科割一波,,06/07 09:08
341,ARROW,jt13,造台積電法說 COWOS至少要抱到營收EPS出來,,06/07 09:08
342,ARROW,YU1225,記住那些整天洗腦任養喵喵不棄養的ＩＤ．．．．ㄏㄏ,,06/07 09:08
343,ARROW,faultless,旅遊有夠扯的,,06/07 09:08
344,PUSH,lmc66,那智傑越燒越旺,,06/07 09:08
345,PUSH,czg,"投資長...麻煩你忍一下,1330再發文",,06/07 09:08
346,ARROW,leoyuan,阿姨搖起來，加油啊,,06/07 09:08
347,PUSH,pttstock,哲哲狂吹 :),,06/07 09:08
348,BOO,jinso7410,…… 記住那些整天喊兩萬的ID……,,06/07 09:08
349,ARROW,blue1204,觀光扯淡,,06/07 09:08
350,PUSH,O10lOl01O,鳳凰又要漲停了= =,,06/07 09:08
351,PUSH,thinksilver,透資長不要亂吹 拜託,,06/07 09:09
352,ARROW,veter,老蘇好強,,06/07 09:09
353,BOO,Crushredkiss,我多空單都平掉了 又變空手蛙QQ,,06/07 09:09
354,PUSH,iiqwer,台股要回萬七了 除了水手還有誰沒賺錢,,06/07 09:09
355,ARROW,YU1225,快笑死．．．ＹＵ概念股　全噴！歡迎跟我對做！哈,,06/07 09:09
356,PUSH,bolovema,還有誰沒財富自由的,,06/07 09:09
357,ARROW,poorcharles,日月光變心頭的白月光,,06/07 09:09
358,PUSH,jc761128,萬潤....,,06/07 09:09
359,ARROW,guilty13,多跟A08跟FJ學啦~ 這種盤是他們的天下,,06/07 09:09
360,PUSH,j32072,油噴噴,,06/07 09:09
361,ARROW,tinybunny,2萬不好嗎T.T?,,06/07 09:09
362,PUSH,Hsiencheng,就在今舔  配合日經大自殺！,,06/07 09:09
363,PUSH,smbtomas,糖漿營收爆發耶,,06/07 09:09
364,ARROW,poorcharles,你才買航運！你全家都買航運！,,06/07 09:09
365,BOO,game36919,日經暴跌700點，出事了吧,,06/07 09:09
366,ARROW,O10lOl01O,買到一張125鳳凰 不會一買就給我跌吧 O_O,,06/07 09:10
367,PUSH,akiras,按..糖漿想說等過平台進場..直接跳空,,06/07 09:10
368,PUSH,ipath19,牧德這麼噴怎麼買啦,,06/07 09:10
369,BOO,ck326,日經盜濫，台股追高仔小心,,06/07 09:10
370,ARROW,baka1412,華星光真妖,,06/07 09:10
371,PUSH,ethan0419,日本吹爆了嗎,,06/07 09:10
372,PUSH,f204137,江宏捷繼續壓 我就繼續吃... 多殺一點,,06/07 09:10
373,ARROW,guilty13,廣運真的是經典案例 起噴前甩掉多數乘客,,06/07 09:10
374,ARROW,smbtomas,小護士沒人愛笑死,,06/07 09:10
375,BOO,oplk,有滷肉跟神教共同保駕護航  我就問買00927要怎麼輸,,06/07 09:10
376,ARROW,oplk,？,,06/07 09:10
377,BOO,yuenda,還有憨多山頂洗碗仔VV叫嗎,,06/07 09:11
378,ARROW,guilty13,為什麼是經典sk,,06/07 09:11
379,ARROW,poorcharles,浴火鳳凰 慾火焚身,,06/07 09:11
380,PUSH,YU1225,面板喵喵發動了　中午可以吃日式商業便當了,,06/07 09:11
