index,type,author,content,ip,time,sentiment,stock_target
124,824,PUSH,jc761128,巨大!!!,,06/07 09:37,positive,null
125,825,ARROW,call5566me,只勝我賠錢了,,06/07 09:37,negative,null
126,826,ARROW,guilty13,6804還沒跌完阿~ 阿這種量能的股票 沒辦法分析,,06/07 09:37,negative,6804
127,827,PUSH,YU1225,https://i.imgur.com/yQbSqku.jpg,,06/07 09:37,neutral,null
128,828,PUSH,kinki999,一堆大飆股的線，好想停利喔,,06/07 09:37,negative,Market
129,829,PUSH,miuca,為何大盤一直漲 嗚嗚嗚 QQ,,06/07 09:37,negative,Market
130,830,ARROW,ZXSC,https://i.imgur.com/rc7Akfl.jpg,,06/07 09:37,neutral,null
131,831,PUSH,akiras,GU大  2515 那個融資一連買五天..是不是有戲啊?,,06/07 09:37,positive,2515
132,832,PUSH,rayccccc,鍋貼好吃,,06/07 09:37,neutral,null
133,833,ARROW,Leo4891,AI就漲多整理而已 空也只是短空 回檔做多簡單多了,,06/07 09:37,positive,null
134,834,ARROW,laechan,老酥散裝轉折之王 https://i.imgur.com/N5KiQef.jpg,,06/07 09:37,neutral,null
135,835,ARROW,ZXSC,https://i.imgur.com/j9k6uc7.jpg,,06/07 09:37,neutral,null
136,836,ARROW,hight0505,機車畫了一座山,,06/07 09:37,neutral,null
137,837,PUSH,a052612565,這盤就不會跌,,06/07 09:37,positive,null
138,838,BOO,kenslc199,一堆噴半根以上 因該都賺爛退休了吧,,06/07 09:37,positive,null
139,839,PUSH,chemrun,三陽賣爽沒,,06/07 09:37,negative,三陽
140,840,ARROW,YU1225,散戶拼命買長榮https://i.imgur.com/WL2Qh33.jpg,,06/07 09:37,neutral,長榮航空股票 (2618)
141,841,PUSH,pipi2,6703也被隔日沖玩了,,06/07 09:37,negative,6703
142,842,PUSH,f204137,和潤都要140了呢 配股的威力,,06/07 09:37,positive,和潤
143,843,ARROW,guilty13,隨便一個瘋子幹個一百張進去馬上就拉上去,,06/07 09:37,positive,null
144,844,PUSH,bleach06bb,穩懋好噴,,06/07 09:38,positive,穩懋股份有限公司
145,845,PUSH,ledmstony,三陽AAAAA,,06/07 09:38,neutral,三陽AAAAA
146,846,PUSH,zse24,三陽下去了==,,06/07 09:38,negative,三陽
147,847,PUSH,answerone,奇怪，油正二怎麼沒有彈,,06/07 09:38,neutral,null
148,848,ARROW,cheedo,兩單奈米戶就別po了,,06/07 09:38,neutral,null
149,849,BOO,YesNoter,cc 包子被倒了,,06/07 09:38,negative,null
150,850,ARROW,thinksilver,肉鬆站穩120之後 上看多少?,,06/07 09:38,positive,null
151,851,ARROW,cysfmc,拉gg大盤紅通通，妖股亂噴,,06/07 09:38,negative,Market
152,852,ARROW,pttstock,這盤搞到陳家兄弟都變通告咖 可憐 :(,,06/07 09:38,negative,
153,853,ARROW,guilty13,阿這種股票你是要怎麼看? 只能蹲基本面啦,,06/07 09:38,neutral,null
154,854,PUSH,adidas81923,Cowos 後段如果丟給精材 那股價不知道會幾倍,,06/07 09:38,positive,Cowos
155,855,ARROW,cheedo,成本2x看戲好爽,,06/07 09:38,neutral,null
156,856,PUSH,agingood,8zz發威,,06/07 09:38,neutral,null
157,857,PUSH,zxcv9404,1609外資大買,,06/07 09:38,positive,1609
158,858,PUSH,joygo,觀察股都紅的沒啥想買的,,06/07 09:38,negative,Market
159,859,PUSH,billy56,大盤的形狀跟飆股沒兩樣,,06/07 09:38,neutral,Market
160,860,PUSH,swanc,要萬7了嗎 要萬7了嗎！？,,06/07 09:39,neutral,null
161,861,PUSH,tony870414,恥骨全紅 糕,,06/07 09:39,neutral,null
162,862,PUSH,DDDDRR,王品掛個367竟然賣掉了= =,,06/07 09:39,negative,王品掛367
163,863,PUSH,wuntony,台股卍解 上二萬,,06/07 09:39,positive,台股
164,864,PUSH,lmc66,長榮大戶在避險躲税啊 看期貨跌不下來就知道了,,06/07 09:39,negative,長榮航空 (2603)
165,865,PUSH,alfi2016,可以買航運三熊,,06/07 09:39,positive,航運三熊
166,866,BOO,Crushredkiss,啾命鴨..QQ,,06/07 09:39,neutral,null
167,867,ARROW,cysfmc,坐上不死鳥的班車的人不用看盤,,06/07 09:39,neutral,null
168,868,PUSH,Messi100,求8zz放過三陽,,06/07 09:39,neutral,"8zz, 三陽"
169,869,ARROW,guilty13,2515是強勢多頭 外資殺不下去 多方巴庫很大一台,,06/07 09:39,positive,2515
170,870,PUSH,kmark1120,空軍：https://i.imgur.com/YYosOFV.jpg,,06/07 09:39,neutral,null
171,871,ARROW,romenticpoet,https://i.imgur.com/gTRKXEH.jpg,,06/07 09:39,neutral,null
172,872,ARROW,joygo,我陽明上次70賣掉等了好幾個月解套，我才不要,,06/07 09:39,negative,陽明
173,873,ARROW,WEYNI,又在尻權值了,,06/07 09:39,negative,Market
174,874,PUSH,j6569642,龍哥你是不是有空技嘉？,,06/07 09:39,neutral,技嘉
175,875,PUSH,TP62842UL3,大亞在狂什麼,,06/07 09:40,neutral,大亞
176,876,PUSH,barry841120,多軍每天睏罷數錢 空軍每天都在補錢...,,06/07 09:40,neutral,null
177,877,ARROW,Crushredkiss,真的有人恥骨是跌的嗎..,,06/07 09:40,negative,null
178,878,PUSH,m10117013,200個藍燈 也是要噴啦 台灣要跌做夢,,06/07 09:40,negative,Market
179,879,ARROW,blue1204,觀光噴爛了,,06/07 09:40,negative,null
180,880,PUSH,akiras,對呀..也看到外資在賣..然後殺不下去耶@@,,06/07 09:40,negative,null
181,881,ARROW,billy56,外資回頭當然買權值,,06/07 09:40,positive,Market
182,882,PUSH,pziix,死魚盤,,06/07 09:40,negative,Market
183,883,ARROW,joygo,股神同事推薦的生達快創新高,,06/07 09:40,positive,生達快
184,884,PUSH,afra,3017怎麼了....離雙鴻那麼遠..奇鋐才是大哥啦,,06/07 09:40,neutral,3017
185,885,PUSH,Lionvjm95,穩懋！,,06/07 09:40,positive,穩懋
186,886,PUSH,simon81345,媽呀，一直噴一直噴啊,,06/07 09:40,negative,null
187,887,PUSH,a6435966,穩套要漲停了嗎？,,06/07 09:40,positive,null
188,888,ARROW,goodjop,前幾天不知道誰問我2707 希望他還抱著,,06/07 09:40,neutral,2707
189,889,PUSH,loopdiuretic,6577直接燈 越南控也直接燈,,06/07 09:40,neutral,6577
190,890,ARROW,piece1,真的不會玩觀光...,,06/07 09:40,neutral,null
191,891,PUSH,chachabo,市場是不是瘋了,,06/07 09:40,negative,Market
192,892,PUSH,BLUESKY101,阿彌陀佛,,06/07 09:41,neutral,null
193,893,PUSH,f204137,都要撞萬7了 報酬指數一樣也快創高 藍燈還不把握..,,06/07 09:41,positive,Market
194,894,PUSH,YU1225,科技股都在輪流噴出 把握類股轉移,,06/07 09:41,neutral,科技股
195,895,PUSH,DDDDRR,看看正2,,06/07 09:41,neutral,null
196,896,ARROW,afra,通膨...股價也是...,,06/07 09:41,negative,Market
197,897,PUSH,Kevinsun,有阿 小弟的6269爛的離譜,,06/07 09:41,negative,6269
198,898,ARROW,romenticpoet,https://i.imgur.com/hOd3Op7.jpg,,06/07 09:41,neutral,null
199,899,PUSH,BHooo,塊陶啊,,06/07 09:41,neutral,null
200,900,PUSH,kentsky16,江宏傑是哪一檔呀？,,06/07 09:41,neutral,null
201,901,ARROW,Crushredkiss,正2真的爽到不行..,,06/07 09:41,positive,null
202,902,PUSH,bolovema,FJ大獲全勝,,06/07 09:41,positive,null
203,903,ARROW,YU1225,會不會噴到2萬 航運都這樣慘XDDD,,06/07 09:41,negative,Market
204,904,PUSH,AllenAline,謝謝空軍,,06/07 09:41,positive,null
205,905,PUSH,cheedo,三陽今天有可能多空雙巴 當沖要注意一下,,06/07 09:41,neutral,三陽
206,906,ARROW,louise13,真水手都在等除息了，假水手才每天關心是上還是下,,06/07 09:41,neutral,null
207,907,ARROW,AllenAline,嘎到月球,,06/07 09:41,neutral,null
208,908,PUSH,ms841288641,宏傑科吧,,06/07 09:41,neutral,宏傑科
209,909,ARROW,WEYNI,我家工兵剛剛是跌的…QQ,,06/07 09:41,negative,
210,910,PUSH,a052612565,萬七大概會達標,,06/07 09:41,positive,null
211,911,PUSH,eupa1973,正二真的有夠讚,,06/07 09:41,positive,null
212,912,PUSH,noname78531,可憐空蛙每天喊每天崩潰 總有一天會喊到的 呵,,06/07 09:41,negative,null
213,913,BOO,call5566me,不是吧  大哥大姐  我賣了才噴  鳩命啊,,06/07 09:41,negative,null
214,914,PUSH,JOKIC,台股真的世界強,,06/07 09:41,positive,Market
215,915,PUSH,zackro,5907今天有點樣子？,,06/07 09:42,neutral,5907
216,916,PUSH,pypy93264,1609準備漲停,,06/07 09:42,positive,1609
217,917,ARROW,AllenAline,這幾天要萬七了,,06/07 09:42,negative,null
218,918,PUSH,jc761128,穩套要紅燈!,,06/07 09:42,negative,null
219,919,PUSH,otsuka123,今天很堅決 很多突破型的發動,,06/07 09:42,positive,Market
220,920,ARROW,f204137,紅藍燈循環 大約8年一次 沒把握住 下次你等2030年吧,,06/07 09:42,negative,null
221,921,PUSH,ethan0419,萬六也是很喊久才到啦,,06/07 09:42,neutral,null
222,922,ARROW,AllenAline,從相對底部上來1500點空軍好慘,,06/07 09:42,negative,Market
223,923,BOO,xiaoyao,老蘇攤平萬海又沉船。抬光電 紅燈,,06/07 09:42,negative,萬海股份
224,924,PUSH,Whitemou,大亞快燈了,,06/07 09:42,positive,大亞股份
225,925,PUSH,joygo,正二我已經分批賣了，沒想到真的不停，只有富邦未,,06/07 09:42,negative,富邦
226,926,ARROW,joygo,來車有吃到這波哈哈,,06/07 09:42,neutral,null
227,927,PUSH,akiras,感謝FJ 昨天江宏傑已進場,,06/07 09:42,positive,江宏傑
228,928,PUSH,guitarotaku,緯創怎麼跌破70了！ 尖叫聲～～,,06/07 09:42,negative,緯創
229,929,PUSH,b23058179,哇靠技嘉！！！！,,06/07 09:42,positive,技嘉
230,930,PUSH,missfay,只有水手在哭泣吧,,06/07 09:42,neutral,null
231,931,PUSH,bradpete,空手哭暈55555,,06/07 09:42,negative,null
232,932,ARROW,frankie30432,最後一棒可能是鴻海這種的吧,,06/07 09:42,neutral,鴻海
233,933,ARROW,cheedo,重點是能不能填息啊 除息賠了價差還要扣稅,,06/07 09:42,negative,
234,934,ARROW,WEYNI,權值又一波QQ,,06/07 09:42,positive,Market
235,935,PUSH,zeroxod,這盤就跟房地產一樣 永遠不會跌，還在期望下殺給補?,,06/07 09:42,negative,Market
236,936,PUSH,max220,江宏捷還沒撿夠耶....,,06/07 09:42,negative,null
237,937,ARROW,sagarain,還有空軍？,,06/07 09:42,neutral,null
238,938,ARROW,jc761128,穩套要燈燈 小傑+U,,06/07 09:42,neutral,null
239,939,BOO,mecca,沒看到多少人在空嗎?所以一直漲啊,,06/07 09:42,neutral,null
240,940,ARROW,Crushredkiss,正2抱著不賣到底怎麼輸 我賣在122 QQ,,06/07 09:42,negative,null
241,941,PUSH,rays66258,杰哥不要..,,06/07 09:42,neutral,null
242,942,PUSH,dosiris,升息縮表不可能萬七吧 今天最後一棒了,,06/07 09:43,neutral,null
243,943,PUSH,gtaped05550,從昨天夜盤喊到現在 拉回就是買 還有人不懂嗎？,,06/07 09:43,positive,null
244,944,ARROW,joygo,持股還在睡覺啦，好無聊,,06/07 09:43,neutral,null
245,945,ARROW,Crushredkiss,乾 133啦,,06/07 09:43,neutral,null
246,946,PUSH,simon81345,早上買131.9的正二就爽到現在了...,,06/07 09:43,positive,null
247,947,PUSH,almanch,1603  爛透,,06/07 09:43,negative,1603
248,948,ARROW,f204137,藍燈買股就是事半功倍... 我講多久了,,06/07 09:43,positive,null
249,949,PUSH,Eleganse,空蛙真像我岳父那群裝神弄鬼的修道玄學命理朋友們,,06/07 09:43,negative,null
250,950,ARROW,akiras,捷哥..等他破前高還是可以加碼啊,,06/07 09:43,neutral,捷成股份
251,951,ARROW,goodjop,吻哥真的好準,,06/07 09:43,positive,null
252,952,ARROW,baka1412,https://i.imgur.com/WPiwsE4.jpg,,06/07 09:43,neutral,null
253,953,ARROW,otsuka123,168出去就真突破了..,,06/07 09:43,positive,null
254,954,PUSH,yannicklatte,又百點招待，漲那麼多…,,06/07 09:43,positive,Market
255,955,PUSH,apolloapollo,百點招待,,06/07 09:43,neutral,null
256,956,ARROW,lyhorcish,3078先跑一些，等營收,,06/07 09:43,neutral,3078
257,957,PUSH,fxp60605,穩懋要燈了,,06/07 09:43,negative,穩懋
258,958,PUSH,b69,空軍好可憐 講不聽教不會,,06/07 09:43,negative,null
259,959,PUSH,loopdiuretic,幫主不要,,06/07 09:43,negative,null
260,960,PUSH,hungadam,億光50,,06/07 09:43,neutral,億光50
261,961,PUSH,huabandd,噴爛啦噴爛啦,,06/07 09:43,negative,null
262,962,ARROW,Eleganse,整天喊自已的理論 中一次自誇半年 殊不知不準了99次,,06/07 09:43,negative,null
263,963,PUSH,chungj,拉什麼股,,06/07 09:43,neutral,null
264,964,ARROW,guilty13,還在航運阿...台股幾千檔 扣掉一半 還是有很多選擇,,06/07 09:44,neutral,null
265,965,ARROW,joygo,萬六打了三次，突破直接噴到萬七,,06/07 09:44,positive,null
266,966,PUSH,DrowningPool,https://i.imgur.com/4iJ8SlX.jpg 不愧是老謝,,06/07 09:44,positive,null
267,967,PUSH,eupa1973,哲哲少賺囉，龍哥快跑路了吧,,06/07 09:44,negative,null
268,968,PUSH,guowei616,VVV 大爆V 6月萬7 7月萬8 年底2萬 台股亞洲第一強,,06/07 09:44,positive,台股
269,969,PUSH,JOKIC,今天看來又是垃圾變黃金的奇蹟日,,06/07 09:44,positive,null
270,970,PUSH,AllenAline,說不訂今天就要萬七了  這氣勢非常猛 好爽,,06/07 09:44,positive,null
271,971,PUSH,dnaangel,正二粗暴又簡單,,06/07 09:44,neutral,null
272,972,PUSH,pypy93264,台股得了只會漲的病 有夠不健康,,06/07 09:44,negative,Market
273,973,ARROW,louise13,假水手才會考慮價差扣稅，真水手只剩攤平了,,06/07 09:44,negative,null
274,974,BOO,kopp8899,國泰證券是不是壞了 …@@,,06/07 09:44,negative,國泰證券
275,975,ARROW,mecca,雞雞在手  點數我有  搞搞結算撈一票,,06/07 09:44,neutral,null
276,976,BOO,xiaoyao,老書 萬海 玉米 攤平再套牢,,06/07 09:44,negative,萬海
277,977,PUSH,YU1225,Led類股輪動了！噴,,06/07 09:44,positive,Market
278,978,PUSH,zeroxod,要空也不是現在空，現在就QQQQQE噴爆,,06/07 09:44,negative,Market
279,979,ARROW,AllenAline,一路向北,,06/07 09:44,neutral,null
280,980,ARROW,goodjop,很多人不甘心~,,06/07 09:44,negative,null
281,981,BOO,call5566me,鳩命啊  油這麼便宜  家95好嗎   家92幹嘛,,06/07 09:44,neutral,null
282,982,PUSH,ntpukid,和潤報酬率60% 好舒服 未來看100%應該不難,,06/07 09:44,positive,null
283,983,PUSH,pqpqpqpq,現在股版人人手上都有正二嗎？,,06/07 09:44,neutral,null
284,984,ARROW,kilik0960,聯詠這波可以挑戰前高464了,,06/07 09:44,positive,聯詠 (2454)
285,985,PUSH,ethan0419,主力完全控制的盤就是這樣,,06/07 09:45,negative,Market
286,986,PUSH,bettercallh,GG給空軍最後一擊,,06/07 09:45,positive,GG (股票代號或暱稱)
287,987,PUSH,kducky,正2真的拯救我這個股海韭菜QQ,,06/07 09:45,positive,null
288,988,PUSH,king5410,江宏捷很想上車可惡,,06/07 09:45,negative,null
289,989,PUSH,herrowui,都不能讓空軍賺點錢嗎？:p,,06/07 09:45,negative,null
290,990,PUSH,GoGoD,記住我ID，直接換新車https://i.imgur.com/JKaRyNX.,,06/07 09:45,neutral,null
291,991,ARROW,GoGoD,jpg,,06/07 09:45,neutral,null
292,992,ARROW,eupa1973,有跟到33哥的人多嗎？,,06/07 09:45,neutral,33哥
293,993,ARROW,zeroxod,機會每天都有啦 幹嘛只拚一天?,,06/07 09:45,neutral,null
294,994,BOO,Crushredkiss,天啊 少賺真的要人命啊,,06/07 09:45,negative,null
295,995,BOO,tzjjkonuj,https://i.imgur.com/m4BF763.jpg 三陽不太行,,06/07 09:45,negative,三陽
